8/9/2022 "ADU Task Force Update" "foreign policy"
Amends the lease agreement with Subway Real Estate, LLC to change the rate structure, reducing rent by $47,185.50 for a new total of $534,806.71 to account for reduced foot traffic during the pandemic recovery, located in the Webb Building in Council District 9. No chang" welfare
7/18/2022 "A bill for an ordinance authorizing a capital equipment purchase in the Clerk and Recorder's Elections Division General Fund budget.
Authorizes the capital equipment purchase of a mail ballot sorter in the Clerk and Recorder’s Elections Division 2022 General Fund budget. The Committee approved filing this item at its meeting on 7-26-2022." government
7/17/2022 "A resolution extending the declaration of local disaster filed with the clerk and recorder to August 29, 2022.
Approves the extension of the declaration of local disaster filed with the clerk and recorder to August 29, 2022. The last regularly scheduled Council meeting within the 30-day review period is on 8-18-22. Councilmember Torres approved direct filing this item on 7-21-22." infrastructure
7/17/2022 "A bill for an ordinance revising Article II, Chapter 20; Article XII, Chapter 39; Article II, Chapter 53; and Article III, Chapter 53 of the Revised Municipal Code.
Amends Chapter 20, Chapter 39, and Chapter 53 of the Denver Revised Municipal Code to change the 2018 Denver Parks and Recreation voter approved sales tax increment from being identified as ‘Parks, Trails and Open Space Fund’ to ‘Parks Legacy Fund’ to better reflect the impact of the fund. The Committee approved filing this item at its meeting on 7-26-2022." infrastructure
7/17/2022 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as a public alley bounded by North Julian Street, West 17th Avenue, North King Street, and West 18th Avenue.
Dedicates a parcel of land as public right-of-way as public alley, bounded by North Julian Street, West 17th Avenue, North King Street and West 18th Avenue, located in Council District 3. The Committee approved filing this item at its meeting on 7-26-2022." infrastructure
7/17/2022 "A bill for an ordinance vacating a portion of right-of-way in the alley bounded by North Santa Fe Drive, North Inca Street, West 11th Avenue, and West 10th Avenue, without reservations.
Vacates a portion of right-of-way in the alley bounded by North Santa Fe Drive and North Inca Street and West 11th Avenue and West 10th Avenue in Council District 3, without reservations. Committee approved filing this item at its meeting on 7-26-2022." infrastructure
7/18/2022 "Mobile Home Policy" welfare
7/14/2022 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the sum of one hundred thousand dollars ($100,000.00) made payable to Rathod Mohamedbhai LLC, in full payment and satisfaction of the lawsuit brought by Keilon Hill arising from his arrest on April 27, 2020, and any and all claims related to the arrest.
Settles a claim involving the Denver Police Department. This item was approved for filing at the Mayor-Council meeting on 7-12-22." infrastructure
7/14/2022 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the sum of Forty Thousand Dollars ($40,000.00) made payable to Condit Csajaghy LLC COLTAF Account, in full payment and satisfaction of any and all claims related to the civil action captioned Edward Lee Hicks v. City and County of Denver, Denver Health And Hospital Authority, Jerome Gonzales, Gabriel Griego, and Frank Rolando which was filed in the United States District Court for the District of Colorado, Case No. 1:17-cv-03001-DDD-KLM.
Settles a claim involving th" infrastructure
7/13/2022 "A bill for an ordinance amending Article I of Chapter 30 of the Revised Municipal Code, altering City Council procedures for designating structures and districts for preservation.
A bill for an ordinance amending Article I of Chapter 30 of the Revised Municipal Code, altering City Council procedures for designating structures and districts for preservation. The Committee approved filing this item at its meeting on 7-19-2022.
Final Consideration 8-22-2022 | Required Public Hearing" infrastructure
7/13/2022 "Changes the Denver City Council Rules of Procedure." infrastructure
7/13/2022 "A bill for an ordinance amending Section 2-53 of the Revised Municipal Code to increase eligibility for appointment to the Denver Board of Ethics.
A bill for an ordinance amending Section 2-53 of the Revised Municipal Code to increase eligibility for appointment to the Denver Board of Ethics. The Committee approved filing this item at its meeting on 7-19-22." infrastructure
7/11/2022 "A bill for an ordinance changing the zoning classification for 715 North Adams Street in Congress Park.
Approves a map amendment to rezone property from U-SU-C to U-SU-C1, located at 715 Adams Street in Council District 10. The Committee approved filing this item at its meeting on 7-19-2022.
Final Consideration 8-29-2022 | Required Public Hearing" infrastructure
7/11/2022 "A bill for an ordinance changing the zoning classification for 479 North Knox Court in Barnum.
Approves a map amendment to rezone property from E-SU-D1x to E-RH-2.5, located at 479 North Knox Court in Council District 3. If ordered published, a public hearing will be held on Monday, 8-29-22. The Committee approved filing this item at its meeting on 7-26-2022.
Final Consideration 8-29-2022 | Required Public Hearing" infrastructure
7/11/2022 "A bill for an ordinance changing the zoning classification for 3923, 3929 West 28th Avenue and 3838 North Perry Street in Berkeley.
Approves a map amendment to rezone property from PUD 456 to U-MS-3, located at 3923 & 3929 West 38th Avenue and 3838 North Perry Street in Council District 1. The Committee approved filing this item at its meeting on 7-19-2022.
Final Consideration 8-29-2022 | Required Public Hearing" infrastructure
7/11/2022 "A bill for an ordinance approving a proposed Amendatory Agreement between the City and County of Denver and Magellan Pipeline Company, L.P., for relocation of a six-inch pipeline in connection with the 56th Avenue Improvements Elevate Denver Bond project.
